,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
0,1557704_PM_a_at,1.25e-17,2.29e-22,-16.3,40.560109999999995,-2.16,7-Mar,membrane associated ring-CH-type finger 7
1,1569091_PM_at,2.75e-16,1.0000000000000001e-20,-14.9,36.87484,-1.51,,
2,1556657_PM_at,3.51e-16,1.93e-20,-14.7,36.239290000000004,-2.49,,
0,241916_at,1.19e-15,2.18e-20,-13.1,35.731008,-2.23,,
3,217821_PM_s_at,7.61e-16,5.559999999999999e-20,14.3,35.20238,1.44,WBP11,WW domain binding protein 11
1,201601_x_at,2.51e-15,9.19e-20,-12.7,34.351487,-1.11,IFITM2///IFITM1,interferon induced transmembrane protein 2///interferon induced transmembrane protein 1
4,209754_PM_s_at,1.29e-15,1.1800000000000002e-19,-14.1,34.46485,-2.99,TMPO,thymopoietin
5,212871_PM_at,1.4300000000000002e-15,1.5699999999999999e-19,14.0,34.18898,1.3,MAPKAPK5,mitogen-activated protein kinase-activated protein kinase 5
2,214022_s_at,3.3200000000000003e-15,1.82e-19,-12.6,33.694811,-0.875,IFITM1,interferon induced transmembrane protein 1
6,1559094_PM_at,1.97e-15,2.52e-19,-13.8,33.7227,-1.92,FBXO9,F-box protein 9
7,225291_PM_at,2.92e-15,4.3e-19,13.7,33.197359999999996,2.18,PNPT1,polyribonucleotide nucleotidyltransferase 1
8,1559096_PM_x_at,2.92e-15,5.24e-19,-13.6,33.00448,-1.96,FBXO9,F-box protein 9
3,202688_at,7.69e-15,5.629999999999999e-19,-12.3,32.611686,-1.15,TNFSF10,tumor necrosis factor superfamily member 10
9,234969_PM_s_at,2.92e-15,5.87e-19,-13.6,32.89315,-1.02,EPC1,enhancer of polycomb homolog 1
10,242403_PM_at,2.92e-15,5.87e-19,-13.6,32.89247,-1.5,,
0,204439_at,3.88e-14,7.100000000000001e-19,-23.913248199999998,28.82055754,-4.03842557,IFI44L,interferon induced protein 44 like
4,201171_at,9.44e-15,8.64e-19,-12.2,32.200282,-1.02,ATP6V0E1,ATPase H+ transporting V0 subunit e1
