ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
214453_s_at,5.20E-14,3.85E-18,15.714974,30.1272201,2.8633588,IFI44,interferon induced protein 44
204439_at,5.20E-14,4.67E-18,15.623334,29.957915,4.2078136,IFI44L,interferon induced protein 44 like
219519_s_at,2.40E-12,3.23E-16,13.69686,26.1659479,6.1980778,SIGLEC1,sialic acid binding Ig like lectin 1
202145_at,1.51E-11,2.72E-15,12.793312,24.2246457,2.5668119,LY6E,"lymphocyte antigen 6 complex, locus E"
202446_s_at,5.59E-11,1.25E-14,12.168276,22.8168266,1.8116689,PLSCR1,phospholipid scramblase 1
202086_at,1.39E-10,3.74E-14,11.733506,21.8052784,2.4379308,MX1,MX dynamin like GTPase 1
218400_at,3.16E-10,9.94E-14,11.352396,20.89639,2.348653,OAS3,2'-5'-oligoadenylate synthetase 3
217933_s_at,1.08E-09,3.86E-13,10.834428,19.6274588,1.4119962,LAP3,leucine aminopeptidase 3
204994_at,1.16E-09,4.69E-13,10.761686,19.4461261,1.5778591,MX2,MX dynamin like GTPase 2
205552_s_at,2.22E-09,1.14E-12,10.430074,18.6096969,2.0238565,OAS1,2'-5'-oligoadenylate synthetase 1
205483_s_at,2.22E-09,1.16E-12,10.424588,18.595723,2.3518475,ISG15,ISG15 ubiquitin-like modifier
222154_s_at,2.22E-09,1.19E-12,10.414023,18.5688045,1.7696118,SPATS2L,spermatogenesis associated serine rich 2 like
219863_at,2.45E-09,1.43E-12,10.348196,18.4007019,2.0599062,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
203236_s_at,2.98E-09,1.87E-12,10.248779,18.1456239,1.3548748,LGALS9,galectin 9
44673_at,5.53E-09,3.94E-12,9.978118,17.4438768,2.5790361,SIGLEC1,sialic acid binding Ig like lectin 1
203153_at,5.53E-09,3.97E-12,9.975109,17.4360159,3.6152309,IFIT1,interferon induced protein with tetratricopeptide repeats 1
216177_at,1.10E-08,8.40E-12,-9.706426,16.7287665,-1.2857395,,
