,0
0,7-Mar
1,WBP11
2,TMPO
3,MAPKAPK5
4,FBXO9
5,IFITM2///IFITM1
6,EPC1
7,PNPT1
8,IFITM1
9,TNFSF10
10,CUL4A
11,ATP6V0E1
12,IFI27
13,COX15
14,ARHGEF7
15,FGFR1OP
16,IFI44L
17,PLIN5
18,MYH14
19,ACACB
20,PDCD6IP
21,ITGA6
22,IFI44
23,TAOK2
24,ISG15
25,TTC17
26,ZNF12
27,TMEM60
28,XAF1
29,HELZ2
30,JAK2
31,GADD45B
32,CHD4
33,CASP4
34,MYH9
35,TNFSF13B
36,B2M
37,SRRM2
38,TCEA1
39,GNB5
40,MYCBP2
41,POMP
42,NPM1
43,C4orf48
44,SAT1
45,DCAF11
46,ST3GAL3
47,C6orf62
48,SNAPC5
49,OASL
50,OCIAD1
51,PCBP2
52,PRRC2C
53,STX12
54,AKAP8L
55,FLI1
56,AAMDC
57,OAS1
58,WNK1
59,POLN
60,SIGLEC1
61,RSAD2
62,SCO2
63,DIAPH1
64,ISG20
65,SP100
66,ATP5F1
67,SF3A1
68,TNFAIP6
69,SQSTM1
70,PDIA4
71,EMD
72,ZNF740
73,SMARCC1
74,IFIT1
75,RTP4
76,IFI35
77,PML
78,PUM1
79,IFIT3
80,ODF3B
81,SERPINB1
82,EZR
83,LSM3
84,YLPM1
85,EIF4G1
86,ATF2
87,MKLN1
88,DHX30
89,POM121C
90,GIGYF2
91,NCOR1
92,TRAPPC5
93,MED9
94,NTNG2
95,SBNO2
96,HERC5
97,TMEM109
98,NNT
99,DYNLT1
100,TYMP
101,EPSTI1
102,PLSCR1
103,RANBP1
104,DCAF8
105,HNRNPC
106,TSPAN31
107,NECTIN1
108,TIMM10
109,STAU1
110,IRF7
111,HSPA9
112,ZBP1
113,SAP18
114,DUSP10
115,FRYL
116,HCST
117,RNF114
118,NUCKS1
119,ENTPD1
120,ZBTB7A
121,SLC25A37
122,ERGIC1
123,CDV3
124,BRD4
125,RPS7
126,GABARAP
127,RPL36AL
128,KLF7
129,LY6E
130,MAD2L1BP
131,MOB3C
132,SDHB
133,IFI6
134,RBM6
135,UPP1
136,ANKRD17
137,KANK2
138,PFDN6
139,POM121C///POM121
140,AASDH
141,ALYREF
142,JUND
143,BST2
144,PABPN1
145,EXOG
146,CALCOCO2
147,OSER1-AS1
148,BAZ1B
149,NUTF2
150,TOR1A
151,ASCC3
152,SMCR8
153,ACPT
154,HNRNPU
155,ING3
156,POLR2J
157,FLCN
158,MYC
159,CD209
160,BPTF
161,TOP1P2
162,CWC15
163,SEC24D
164,STK38
165,IL1RN
166,UXT
167,NIFK
168,THRAP3
169,MX1
170,RNF181
171,CD300A
172,FAM193B
173,MGC12488
174,LOC100134937
175,YWHAZ
176,GTF2H1
177,RNF146
178,RCOR1
179,GNL2
180,MYL6B
181,SYF2
182,GDI2
183,NDRG1
184,MYCL
185,PARP9
186,NUP58
187,C1orf122
188,DLGAP4
189,KIAA0430
190,EFHD2
191,IKZF1
192,METTL6
193,OGT
194,GTF3C2-AS1
195,LOC101930489///MIR4435-2HG///LINC00152
196,PRICKLE1
197,USP34
198,SCAF4
199,NDST1
200,ANKRD22
201,USP22
202,CFL1
203,PCF11
204,G2E3
205,HNRNPL
206,BLVRA
207,CSRNP1
208,SON
209,CMPK2
210,DDX58
211,C11orf98///LBHD1
212,LGALS1
213,ITFG1
214,TNRC18
215,UTP20
216,SPATS2L
217,PRDM2
218,LTC4S
219,EIF2AK2
220,LUC7L
221,ENSA
222,NSF
223,CNTRL
224,PRPF8
225,AZI2
226,KLHL28
227,SCAND1
228,REM2
229,SPTAN1
230,DAZAP2
231,RAB2A
232,PPIB
233,LOC102724250///NBPF26///NBPF19///NBPF10///NBPF15///NBPF11///NBPF1///NBPF14
234,CD63
235,DDB1
236,IDS
237,FURIN
238,POM121L10P///POM121L4P///POM121L8P///POM121L9P///POM121L1P
239,COX5B
240,AIP
241,SAMD9L
242,SMIM12
243,PAGR1
244,AGTRAP
245,MATN1-AS1
246,GLUD1
247,N4BP2L1
248,TANK
249,SLC22A7
250,WAC
251,ABCB1
252,THOC2
253,VHL
254,DCAF7
255,CCNY
256,TTC3P1///TTC3
257,MEF2D
258,MDM4
259,FBXO6
260,PSIP1
261,RBCK1
262,OR4D1
263,RNF135
264,IFIT5
265,C5orf56
266,MT1E
267,VAMP5
268,LOC100288954
269,HP1BP3
270,SKIL
271,TRIM69
272,FCGR1B
273,UTP23
274,SUB1
275,RPL8
276,CASP1
277,SETD2
278,WSCD1
279,IFITM3
280,BAIAP2L1
281,PDLIM4
282,DDAH2
283,IGFN1
284,OAS3
285,FCGR1A
286,SIPA1L3
287,PSMA5
