geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0050776,regulation of immune response,http://amigo.geneontology.org/amigo/term/GO:0050776,892,49,13.79889503,3.551008969,5.33E-15,4.82E-11,640;717;735;941;942;958;1445;1493;1813;1997;2212;2672;2885;3075;3117;3119;3120;3122;3123;3558;3559;3575;3586;3654;3684;3717;3815;3984;5468;5469;5781;5788;7128;7187;7292;8013;8807;9258;9402;9474;9641;10318;10906;59067;64135;79155;114836;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000230726;ENSG00000166278;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000135148;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000096968;ENSG00000109471;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000106683;ENSG00000121594;ENSG00000138684;ENSG00000136634;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000285022;ENSG00000134460;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000057663;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000149295;ENSG00000081237;ENSG00000132170;ENSG00000231543;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000000971;ENSG00000196735;ENSG00000234794;ENSG00000120690
GO:0002682,regulation of immune system process,http://amigo.geneontology.org/amigo/term/GO:0002682,1376,61,21.28618785,2.865708056,2.60E-14,8.10E-11,639;640;717;735;941;942;958;1445;1493;1813;1997;2064;2113;2212;2672;2885;3075;3117;3119;3120;3122;3123;3558;3559;3575;3586;3654;3684;3717;3815;3984;4853;5468;5469;5781;5788;6774;7128;7187;7292;8013;8807;9258;9402;9474;9641;9770;10318;10906;22806;28514;29851;51176;55024;57118;59067;64135;79155;114836;121665;394263,ENSG00000145901;ENSG00000141736;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000230726;ENSG00000166278;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000135148;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000057657;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000096968;ENSG00000109471;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000106683;ENSG00000121594;ENSG00000138684;ENSG00000136634;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000285022;ENSG00000101265;ENSG00000134460;ENSG00000115267;ENSG00000206308;ENSG00000153064;ENSG00000115607;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000057663;ENSG00000183049;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000149295;ENSG00000081237;ENSG00000161405;ENSG00000132170;ENSG00000163600;ENSG00000231543;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000000971;ENSG00000138795;ENSG00000196735;ENSG00000134250;ENSG00000234794;ENSG00000198719;ENSG00000120690;ENSG00000134954
GO:0019221,cytokine-mediated signaling pathway,http://amigo.geneontology.org/amigo/term/GO:0019221,696,42,10.76685083,3.900862069,2.69E-14,8.10E-11,356;818;941;942;958;1997;2672;2690;2885;3117;3119;3120;3122;3123;3451;3558;3559;3575;3586;3595;3654;3663;3684;3717;3815;3936;4261;5468;5469;5781;5788;6367;6774;6775;7128;7187;7292;7297;8807;29949;59067;79155,ENSG00000196610;ENSG00000138378;ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136167;ENSG00000168884;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000184216;ENSG00000179583;ENSG00000228254;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000169896;ENSG00000142224;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000121594;ENSG00000138684;ENSG00000081985;ENSG00000136634;ENSG00000148660;ENSG00000228813;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000134460;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000105397;ENSG00000128604;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000114013;ENSG00000232062;ENSG00000081237;ENSG00000132170;ENSG00000225890;ENSG00000102962;ENSG00000196735;ENSG00000234794;ENSG00000120690;ENSG00000112964
GO:0006955,immune response,http://amigo.geneontology.org/amigo/term/GO:0006955,1881,72,29.09834254,2.474367738,1.12E-13,2.54E-10,356;639;640;717;735;818;941;942;958;1130;1445;1493;1813;1997;2113;2212;2672;2885;3075;3117;3119;3120;3122;3123;3451;3558;3559;3575;3586;3654;3663;3684;3717;3815;3936;3984;4261;4688;4853;5328;5468;5469;5781;5788;6367;6774;6932;7128;7187;7292;7297;8013;8807;9103;9258;9402;9474;9641;10318;10906;28514;29851;29949;51176;59067;64135;79155;114836;116449;121260;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000143669;ENSG00000230726;ENSG00000166278;ENSG00000234829;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000136167;ENSG00000168884;ENSG00000135148;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000057657;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000179583;ENSG00000228254;ENSG00000122861;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000169896;ENSG00000142224;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000139370;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000106683;ENSG00000121594;ENSG00000138684;ENSG00000136634;ENSG00000148660;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000109684;ENSG00000285022;ENSG00000134460;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000105397;ENSG00000128604;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000057663;ENSG00000143226;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000149295;ENSG00000081237;ENSG00000081059;ENSG00000132170;ENSG00000163600;ENSG00000231543;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000000971;ENSG00000138795;ENSG00000116701;ENSG00000102962;ENSG00000196735;ENSG00000134250;ENSG00000234794;ENSG00000198719;ENSG00000120690;ENSG00000134954
GO:0002684,positive regulation of immune system process,http://amigo.geneontology.org/amigo/term/GO:0002684,963,48,14.89723757,3.222073876,4.01E-13,7.26E-10,640;717;735;941;942;958;1445;1493;1997;2113;2212;2672;2885;3075;3117;3119;3120;3122;3123;3558;3559;3575;3586;3654;3684;3984;5469;5781;5788;6774;7128;7187;7292;8013;8807;9258;9402;9641;10318;29851;51176;57118;59067;64135;79155;114836;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000230726;ENSG00000166278;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000109471;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000106683;ENSG00000121594;ENSG00000138684;ENSG00000136634;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000285022;ENSG00000134460;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000183049;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000081237;ENSG00000163600;ENSG00000231543;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000000971;ENSG00000138795;ENSG00000196735;ENSG00000234794;ENSG00000120690;ENSG00000134954
GO:0034097,response to cytokine,http://amigo.geneontology.org/amigo/term/GO:0034097,1083,50,16.75359116,2.984434771,2.12E-12,3.05E-09,356;818;941;942;958;1997;2113;2672;2690;2885;3117;3119;3120;3122;3123;3451;3558;3559;3575;3586;3595;3654;3663;3684;3717;3727;3815;3936;4261;5468;5469;5781;5788;6367;6774;6775;6932;7128;7187;7292;7297;8807;9641;29949;51176;55892;59067;64135;79155;84159,ENSG00000196610;ENSG00000138378;ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136167;ENSG00000168884;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000184216;ENSG00000179583;ENSG00000228254;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000169896;ENSG00000142224;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000121594;ENSG00000138684;ENSG00000081985;ENSG00000136634;ENSG00000148660;ENSG00000228813;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000134460;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000105397;ENSG00000128604;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000150347;ENSG00000114013;ENSG00000232062;ENSG00000081237;ENSG00000081059;ENSG00000132170;ENSG00000225890;ENSG00000263528;ENSG00000138795;ENSG00000102962;ENSG00000196735;ENSG00000085274;ENSG00000130522;ENSG00000234794;ENSG00000120690;ENSG00000112964;ENSG00000134954
GO:0050778,positive regulation of immune response,http://amigo.geneontology.org/amigo/term/GO:0050778,694,39,10.7359116,3.632667765,2.36E-12,3.05E-09,640;717;735;941;942;958;1445;1493;1997;2212;2672;2885;3075;3117;3119;3120;3122;3123;3558;3654;3684;3984;5469;5788;7128;7187;7292;8013;8807;9258;9402;9641;10318;59067;64135;79155;114836;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000162739;ENSG00000230726;ENSG00000166278;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000113600;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000109471;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000106683;ENSG00000121594;ENSG00000138684;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000285022;ENSG00000115267;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000143226;ENSG00000114013;ENSG00000232062;ENSG00000081237;ENSG00000231543;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000000971;ENSG00000196735;ENSG00000234794;ENSG00000120690
GO:0071345,cellular response to cytokine stimulus,http://amigo.geneontology.org/amigo/term/GO:0071345,998,46,15.43867403,2.97953049,2.01E-11,2.28E-08,356;818;941;942;958;1997;2672;2690;2885;3117;3119;3120;3122;3123;3451;3558;3559;3575;3586;3595;3654;3663;3684;3717;3815;3936;4261;5468;5469;5781;5788;6367;6774;6775;6932;7128;7187;7292;7297;8807;29949;51176;55892;59067;79155;84159,ENSG00000196610;ENSG00000138378;ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136167;ENSG00000168884;ENSG00000228987;ENSG00000125686;ENSG00000224305;ENSG00000168610;ENSG00000184216;ENSG00000179583;ENSG00000228254;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000169896;ENSG00000142224;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000117586;ENSG00000101017;ENSG00000121594;ENSG00000138684;ENSG00000081985;ENSG00000136634;ENSG00000148660;ENSG00000228813;ENSG00000206240;ENSG00000118503;ENSG00000168685;ENSG00000134460;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000105397;ENSG00000128604;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000179295;ENSG00000150347;ENSG00000114013;ENSG00000232062;ENSG00000081237;ENSG00000081059;ENSG00000132170;ENSG00000225890;ENSG00000138795;ENSG00000102962;ENSG00000196735;ENSG00000085274;ENSG00000234794;ENSG00000120690;ENSG00000112964
GO:0046649,lymphocyte activation,http://amigo.geneontology.org/amigo/term/GO:0046649,633,34,9.792265193,3.472128188,2.34E-10,2.36E-07,639;941;942;958;1445;1493;2064;2885;3451;3558;3559;3575;3586;3815;3936;4853;5781;5788;6774;6932;7128;7292;8935;9402;9474;10320;22806;28514;29851;51176;55024;59067;79155;114836,ENSG00000141736;ENSG00000162739;ENSG00000185811;ENSG00000234829;ENSG00000157404;ENSG00000177885;ENSG00000136167;ENSG00000168884;ENSG00000168610;ENSG00000057657;ENSG00000109471;ENSG00000163599;ENSG00000117586;ENSG00000101017;ENSG00000121594;ENSG00000138684;ENSG00000136634;ENSG00000103653;ENSG00000118503;ENSG00000168685;ENSG00000134460;ENSG00000153064;ENSG00000179295;ENSG00000057663;ENSG00000114013;ENSG00000081237;ENSG00000081059;ENSG00000161405;ENSG00000163600;ENSG00000100351;ENSG00000138795;ENSG00000005020;ENSG00000134250;ENSG00000198719
GO:0002764,immune response-regulating signaling pathway,http://amigo.geneontology.org/amigo/term/GO:0002764,480,29,7.425414365,3.905505952,3.75E-10,3.39E-07,640;958;1445;1493;1997;2212;2672;2885;3117;3119;3120;3122;3123;3654;3684;3815;3984;5788;7128;7187;8013;9258;9402;9641;10318;64135;79155;121665;394263,ENSG00000145901;ENSG00000196610;ENSG00000206305;ENSG00000230726;ENSG00000157404;ENSG00000231286;ENSG00000236418;ENSG00000162676;ENSG00000177885;ENSG00000136573;ENSG00000157837;ENSG00000168884;ENSG00000228987;ENSG00000224305;ENSG00000147324;ENSG00000184216;ENSG00000228254;ENSG00000169896;ENSG00000226165;ENSG00000229493;ENSG00000163599;ENSG00000227993;ENSG00000101017;ENSG00000106683;ENSG00000103653;ENSG00000228813;ENSG00000231350;ENSG00000206240;ENSG00000118503;ENSG00000285022;ENSG00000115267;ENSG00000206308;ENSG00000228284;ENSG00000131323;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000143226;ENSG00000232062;ENSG00000081237;ENSG00000225890;ENSG00000119508;ENSG00000263528;ENSG00000100351;ENSG00000196735;ENSG00000234794;ENSG00000120690
