,geneSet,description,size,expect,pValue,FDR
0,GO:0050776,regulation of immune response,892,13.79889503,5.3299999999999994e-15,4.8200000000000005e-11
1,GO:0002682,regulation of immune system process,1376,21.28618785,2.6e-14,8.099999999999999e-11
2,GO:0019221,cytokine-mediated signaling pathway,696,10.76685083,2.69e-14,8.099999999999999e-11
3,GO:0006955,immune response,1881,29.09834254,1.1199999999999999e-13,2.54e-10
4,GO:0002684,positive regulation of immune system process,963,14.89723757,4.01e-13,7.26e-10
5,GO:0034097,response to cytokine,1083,16.75359116,2.12e-12,3.05e-09
6,GO:0050778,positive regulation of immune response,694,10.7359116,2.36e-12,3.05e-09
7,GO:0071345,cellular response to cytokine stimulus,998,15.43867403,2.01e-11,2.28e-08
8,GO:0046649,lymphocyte activation,633,9.792265192999999,2.34e-10,2.3600000000000002e-07
9,GO:0002764,immune response-regulating signaling pathway,480,7.425414365,3.75e-10,3.39e-07
10,GO:0002253,activation of immune response,526,8.137016575,7.22e-10,5.939999999999999e-07
11,GO:0045087,innate immune response,813,12.57679558,9.86e-10,7.440000000000001e-07
12,GO:0002757,immune response-activating signal transduction,449,6.945856354,1.75e-09,1.22e-06
13,GO:0009967,positive regulation of signal transduction,1546,23.916022100000003,2.9600000000000005e-09,1.91e-06
14,GO:0030098,lymphocyte differentiation,335,5.182320442,1.26e-08,7.59e-06
15,GO:0010647,positive regulation of cell communication,1706,26.39116022,1.3899999999999999e-08,7.85e-06
16,GO:0023056,positive regulation of signaling,1712,26.4839779,1.57e-08,7.95e-06
17,GO:0042113,B cell activation,227,3.51160221,1.58e-08,7.95e-06
18,GO:0002520,immune system development,866,13.39668508,1.85e-08,8.39e-06
19,GO:0006952,defense response,1494,23.11160221,1.85e-08,8.39e-06
