,geneSet,description,size,expect,pValue,FDR
0,GO:0098552,side of membrane,471,5.482481667,2.53e-10,2.96e-07
1,GO:0071556,integral component of lumenal side of endoplasmic reticulum membrane,24,0.279362123,2.61e-07,0.000102
2,GO:0098553,lumenal side of endoplasmic reticulum membrane,24,0.279362123,2.61e-07,0.000102
3,GO:0042613,MHC class II protein complex,15,0.174601327,5.55e-07,0.000162
4,GO:0012506,vesicle membrane,754,8.776626702,7.13e-07,0.000167
5,GO:0009986,cell surface,768,8.939587941000001,1.01e-06,0.000188
6,GO:0009897,external side of plasma membrane,282,3.282504947,1.13e-06,0.000188
7,GO:0042611,MHC protein complex,21,0.244441858,3.55e-06,0.000519
8,GO:0030665,clathrin-coated vesicle membrane,106,1.233849377,4.06e-06,0.0005269999999999999
9,GO:0030659,cytoplasmic vesicle membrane,733,8.532184845,4.82e-06,0.000563
10,GO:0030139,endocytic vesicle,286,3.3290653010000004,6.77e-06,0.000719
11,GO:0045334,clathrin-coated endocytic vesicle,63,0.733325573,8.31e-06,0.0008089999999999999
12,GO:0030669,clathrin-coated endocytic vesicle membrane,44,0.512163892,1.13e-05,0.001012532
13,GO:0030666,endocytic vesicle membrane,158,1.839133977,1.64e-05,0.001365611
14,GO:0031226,intrinsic component of plasma membrane,1632,18.99662437,2.55e-05,0.0019820320000000003
15,GO:0030136,clathrin-coated vesicle,180,2.095215924,5.01e-05,0.003658293
16,GO:0032588,trans-Golgi network membrane,89,1.035967873,8.02e-05,0.00550932
17,GO:0030658,transport vesicle membrane,195,2.269817251,9.790000000000001e-05,0.006354222
18,GO:0005794,Golgi apparatus,1490,17.34373181,0.00010800000000000001,0.006669746999999999
19,GO:0030662,coated vesicle membrane,168,1.955534862,0.000157,0.009194913
