geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
hsa05320,Autoimmune thyroid disease,http://www.kegg.jp/kegg-bin/show_pathway?hsa05320+1493+3117+3119+3122+3123+3451+3558+356+3586+941+942+958,51,12,0.917266187,13.08235294,6.01E-11,1.95E-08,1493;3117;3119;3122;3123;3451;3558;356;3586;941;942;958,ENSG00000206305;ENSG00000230726;ENSG00000234829;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000109471;ENSG00000117560;ENSG00000163599;ENSG00000227993;ENSG00000101017;ENSG00000121594;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05330,Allograft rejection,http://www.kegg.jp/kegg-bin/show_pathway?hsa05330+3117+3119+3122+3123+3558+356+3586+941+942+958,37,10,0.665467626,15.02702703,5.77E-10,9.35E-08,3117;3119;3122;3123;3558;356;3586;941;942;958,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000109471;ENSG00000117560;ENSG00000227993;ENSG00000101017;ENSG00000121594;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa04672,Intestinal immune network for IgA production,http://www.kegg.jp/kegg-bin/show_pathway?hsa04672+29851+3117+3119+3122+3123+3558+3586+941+942+958,48,10,0.863309353,11.58333333,9.17E-09,9.38E-07,29851;3117;3119;3122;3123;3558;3586;941;942;958,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000109471;ENSG00000227993;ENSG00000101017;ENSG00000121594;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000163600;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05321,Inflammatory bowel disease (IBD),http://www.kegg.jp/kegg-bin/show_pathway?hsa05321+3117+3119+3122+3123+3558+3586+3595+59067+6774+6775+8807,63,11,1.133093525,9.707936508,1.16E-08,9.38E-07,3117;3119;3122;3123;3558;3586;3595;59067;6774;6775;8807,ENSG00000138378;ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000168610;ENSG00000109471;ENSG00000227993;ENSG00000138684;ENSG00000081985;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000115607;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa05150,Staphylococcus aureus infection,http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+2212+3075+3117+3119+3122+3123+3586+3684+717+9103,54,10,0.971223022,10.2962963,3.06E-08,1.98E-06,2212;3075;3117;3119;3122;3123;3586;3684;717;9103,ENSG00000206305;ENSG00000230726;ENSG00000166278;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000169896;ENSG00000227993;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000143226;ENSG00000143226;ENSG00000232062;ENSG00000231543;ENSG00000225890;ENSG00000000971;ENSG00000196735;ENSG00000234794
hsa05140,Leishmaniasis,http://www.kegg.jp/kegg-bin/show_pathway?hsa05140+2212+3117+3119+3122+3123+3586+3654+3684+3717+4688+9103,70,11,1.258992806,8.737142857,3.66E-08,1.98E-06,2212;3117;3119;3122;3123;3586;3654;3684;3717;4688;9103,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000184216;ENSG00000096968;ENSG00000169896;ENSG00000227993;ENSG00000136634;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000143226;ENSG00000143226;ENSG00000232062;ENSG00000225890;ENSG00000116701;ENSG00000196735;ENSG00000234794
hsa04940,Type I diabetes mellitus,http://www.kegg.jp/kegg-bin/show_pathway?hsa04940+3117+3119+3122+3123+3382+3558+356+941+942,43,9,0.773381295,11.6372093,5.02E-08,2.32E-06,3117;3119;3122;3123;3382;3558;356;941;942,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000109471;ENSG00000117560;ENSG00000227993;ENSG00000003147;ENSG00000121594;ENSG00000206240;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
hsa04658,Th1 and Th2 cell differentiation,http://www.kegg.jp/kegg-bin/show_pathway?hsa04658+28514+3117+3119+3122+3123+3558+3559+3595+3717+4853+6775+7297,90,12,1.618705036,7.413333333,5.72E-08,2.32E-06,28514;3117;3119;3122;3123;3558;3559;3595;3717;4853;6775;7297,ENSG00000138378;ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000096968;ENSG00000109471;ENSG00000227993;ENSG00000081985;ENSG00000206240;ENSG00000134460;ENSG00000206308;ENSG00000228284;ENSG00000105397;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000134250;ENSG00000234794;ENSG00000198719
hsa04630,JAK-STAT signaling pathway,http://www.kegg.jp/kegg-bin/show_pathway?hsa04630+2690+2885+29949+3451+3558+3559+3575+3586+3595+3717+5781+59067+6774+6775+7297,160,15,2.877697842,5.2125,1.46E-07,5.25E-06,2690;2885;29949;3451;3558;3559;3575;3586;3595;3717;5781;59067;6774;6775;7297,ENSG00000138378;ENSG00000234829;ENSG00000177885;ENSG00000168610;ENSG00000096968;ENSG00000109471;ENSG00000142224;ENSG00000138684;ENSG00000081985;ENSG00000136634;ENSG00000168685;ENSG00000134460;ENSG00000105397;ENSG00000179295;ENSG00000112964
hsa04514,Cell adhesion molecules (CAMs),http://www.kegg.jp/kegg-bin/show_pathway?hsa04514+1493+257194+29851+3117+3119+3122+3123+3684+5788+84628+8516+941+942+958,140,14,2.517985612,5.56,1.75E-07,5.66E-06,1493;257194;29851;3117;3119;3122;3123;3684;5788;84628;8516;941;942;958,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000169896;ENSG00000163599;ENSG00000227993;ENSG00000101017;ENSG00000121594;ENSG00000206240;ENSG00000077943;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000114013;ENSG00000232062;ENSG00000172260;ENSG00000081237;ENSG00000163600;ENSG00000225890;ENSG00000196735;ENSG00000234794;ENSG00000196358
