,geneSet,description,size,expect,pValue,FDR
0,hsa05320,Autoimmune thyroid disease,51,0.9172661870000001,6.009999999999999e-11,1.95e-08
1,hsa05330,Allograft rejection,37,0.665467626,5.77e-10,9.35e-08
2,hsa04672,Intestinal immune network for IgA production,48,0.863309353,9.17e-09,9.38e-07
3,hsa05321,Inflammatory bowel disease (IBD),63,1.133093525,1.16e-08,9.38e-07
4,hsa05150,Staphylococcus aureus infection,54,0.971223022,3.06e-08,1.98e-06
5,hsa05140,Leishmaniasis,70,1.258992806,3.6600000000000003e-08,1.98e-06
6,hsa04940,Type I diabetes mellitus,43,0.773381295,5.019999999999999e-08,2.32e-06
7,hsa04658,Th1 and Th2 cell differentiation,90,1.618705036,5.7199999999999996e-08,2.32e-06
8,hsa04630,JAK-STAT signaling pathway,160,2.877697842,1.4599999999999998e-07,5.25e-06
9,hsa04514,Cell adhesion molecules (CAMs),140,2.517985612,1.75e-07,5.66e-06
10,hsa05332,Graft-versus-host disease,40,0.71942446,4.1799999999999996e-07,1.23e-05
11,hsa05145,Toxoplasmosis,109,1.960431655,4.9e-07,1.32e-05
12,hsa05200,Pathways in cancer,516,9.28057554,1.16e-06,2.8899999999999998e-05
13,hsa05152,Tuberculosis,174,3.129496403,2.5e-06,5.79e-05
14,hsa05162,Measles,129,2.320143885,3.01e-06,6.51e-05
15,hsa05310,Asthma,30,0.539568345,1.26e-05,0.000254
16,hsa04659,Th17 cell differentiation,106,1.90647482,1.85e-05,0.000342
17,hsa05322,Systemic lupus erythematosus,130,2.338129496,1.9699999999999998e-05,0.000342
18,hsa05168,Herpes simplex infection,181,3.255395683,2.01e-05,0.000342
19,hsa05169,Epstein-Barr virus infection,198,3.5611510789999996,5.17e-05,0.000837
