geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0016772,"transferase activity, transferring phosphorus-containing groups",http://amigo.geneontology.org/amigo/term/GO:0016772,980,37,13.53009756,2.734643991,2.13E-08,3.94E-05,640;818;941;942;1027;1445;1609;2044;2064;2885;3654;3717;3815;3984;4261;5129;5558;5592;5634;5781;7015;7297;8844;8997;9641;9770;10390;11044;23057;28996;29851;51755;54899;57118;64895;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000177885;ENSG00000136573;ENSG00000141068;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000112941;ENSG00000106683;ENSG00000121594;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000115421;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000101265;ENSG00000064393;ENSG00000168297;ENSG00000105397;ENSG00000164362;ENSG00000111276;ENSG00000101911;ENSG00000179295;ENSG00000145214;ENSG00000183049;ENSG00000114013;ENSG00000185532;ENSG00000163600;ENSG00000263528;ENSG00000188322;ENSG00000134255;ENSG00000146143;ENSG00000157064
GO:0016301,kinase activity,http://amigo.geneontology.org/amigo/term/GO:0016301,835,31,11.52819537,2.689059215,4.93E-07,4.56E-04,640;818;941;942;1027;1445;1609;2044;2064;2885;3654;3717;3815;3984;4261;5129;5592;5634;5781;7297;8844;8997;9641;9770;28996;29851;51755;54899;57118;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000177885;ENSG00000136573;ENSG00000141068;ENSG00000184216;ENSG00000179583;ENSG00000096968;ENSG00000106683;ENSG00000121594;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000101265;ENSG00000064393;ENSG00000168297;ENSG00000105397;ENSG00000111276;ENSG00000101911;ENSG00000179295;ENSG00000145214;ENSG00000183049;ENSG00000114013;ENSG00000185532;ENSG00000163600;ENSG00000263528;ENSG00000188322
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",http://amigo.geneontology.org/amigo/term/GO:0016773,774,29,10.68601583,2.71382716,9.95E-07,6.14E-04,640;818;941;942;1027;1445;1609;2044;2064;2885;3654;3717;3815;3984;5129;5592;5781;7297;8844;8997;9641;9770;28996;29851;51755;54899;57118;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000177885;ENSG00000136573;ENSG00000141068;ENSG00000184216;ENSG00000096968;ENSG00000106683;ENSG00000121594;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000101265;ENSG00000064393;ENSG00000168297;ENSG00000105397;ENSG00000111276;ENSG00000179295;ENSG00000145214;ENSG00000183049;ENSG00000114013;ENSG00000185532;ENSG00000163600;ENSG00000263528;ENSG00000188322
GO:0008022,protein C-terminus binding,http://amigo.geneontology.org/amigo/term/GO:0008022,187,13,2.581763515,5.035317885,2.02E-06,9.36E-04,1445;1601;2064;3717;4261;4688;5468;6310;6311;6494;6857;7015;8844,ENSG00000141736;ENSG00000213445;ENSG00000124788;ENSG00000141068;ENSG00000179583;ENSG00000096968;ENSG00000153071;ENSG00000103653;ENSG00000164362;ENSG00000132170;ENSG00000116701;ENSG00000204842;ENSG00000067715
GO:0032395,MHC class II receptor activity,http://amigo.geneontology.org/amigo/term/GO:0032395,10,4,0.13806222,28.97244444,6.96E-06,0.002063173,3117;3119;3120;3122,ENSG00000196610;ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000224305;ENSG00000228254;ENSG00000226165;ENSG00000229493;ENSG00000227993;ENSG00000228813;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000232629;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
GO:0051427,hormone receptor binding,http://amigo.geneontology.org/amigo/term/GO:0051427,180,12,2.485119961,4.828740741,7.74E-06,0.002063173,190;3717;3727;5468;5469;5781;6774;7297;8013;10499;23081;51176,ENSG00000125686;ENSG00000168610;ENSG00000169297;ENSG00000096968;ENSG00000105397;ENSG00000179295;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000107077;ENSG00000130522
GO:0042802,identical protein binding,http://amigo.geneontology.org/amigo/term/GO:0042802,1672,45,23.08400319,1.949401914,8.68E-06,0.002063173,190;818;949;1445;1813;1815;1820;2064;2113;2191;2690;2885;3092;3654;3663;3717;3815;3936;5468;5634;5788;6310;6631;6774;6775;6857;7015;7128;8013;8626;9518;10318;22806;22807;23380;23534;51074;54806;54887;64135;114088;114904;121665;157285;283742,ENSG00000145901;ENSG00000141736;ENSG00000138378;ENSG00000157404;ENSG00000177885;ENSG00000171262;ENSG00000127946;ENSG00000157837;ENSG00000136167;ENSG00000116017;ENSG00000168610;ENSG00000124788;ENSG00000169297;ENSG00000064419;ENSG00000184216;ENSG00000100505;ENSG00000073282;ENSG00000030419;ENSG00000096968;ENSG00000149089;ENSG00000130513;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000133466;ENSG00000078098;ENSG00000118503;ENSG00000266028;ENSG00000115267;ENSG00000128604;ENSG00000164362;ENSG00000073060;ENSG00000135541;ENSG00000101911;ENSG00000149295;ENSG00000081237;ENSG00000276825;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000065060;ENSG00000124562;ENSG00000112964;ENSG00000134954;ENSG00000067715
GO:0044212,transcription regulatory region DNA binding,http://amigo.geneontology.org/amigo/term/GO:0044212,869,29,11.99760692,2.417148702,9.60E-06,0.002063173,639;1820;1997;2113;2672;3663;3727;4261;4520;5017;5468;5469;6774;6932;8013;8538;8626;10320;10499;11278;22806;22807;51176;51513;51755;60468;64754;84159;170463,ENSG00000185811;ENSG00000162676;ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000057657;ENSG00000010030;ENSG00000179583;ENSG00000073282;ENSG00000030419;ENSG00000167258;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0001067,regulatory region nucleic acid binding,http://amigo.geneontology.org/amigo/term/GO:0001067,871,29,12.02521937,2.411598418,1.00E-05,0.002063173,639;1820;1997;2113;2672;3663;3727;4261;4520;5017;5468;5469;6774;6932;8013;8538;8626;10320;10499;11278;22806;22807;51176;51513;51755;60468;64754;84159;170463,ENSG00000185811;ENSG00000162676;ENSG00000116017;ENSG00000125686;ENSG00000168610;ENSG00000057657;ENSG00000010030;ENSG00000179583;ENSG00000073282;ENSG00000030419;ENSG00000167258;ENSG00000112182;ENSG00000172818;ENSG00000043039;ENSG00000128604;ENSG00000185420;ENSG00000150347;ENSG00000130511;ENSG00000081059;ENSG00000161405;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000140396;ENSG00000130522;ENSG00000118922;ENSG00000188786;ENSG00000120690;ENSG00000134954
GO:0019903,protein phosphatase binding,http://amigo.geneontology.org/amigo/term/GO:0019903,129,10,1.781002639,5.614814815,1.21E-05,0.002240097,1027;1445;2064;2885;5468;6774;7187;9258;9641;9887,ENSG00000141736;ENSG00000116698;ENSG00000177885;ENSG00000168610;ENSG00000147324;ENSG00000103653;ENSG00000285022;ENSG00000131323;ENSG00000111276;ENSG00000132170;ENSG00000263528
GO:0005102,signaling receptor binding,http://amigo.geneontology.org/amigo/term/GO:0005102,1498,41,20.68172056,1.98242694,1.60E-05,0.002688591,190;356;640;1813;2064;2191;2885;3092;3451;3558;3586;3717;3727;3936;5334;5468;5469;5781;5788;6311;6343;6367;6774;6857;7148;7187;7292;7297;8013;8528;9518;10499;23081;23294;27255;28514;29949;51176;55024;59067;200734,ENSG00000141736;ENSG00000234829;ENSG00000177885;ENSG00000127946;ENSG00000136573;ENSG00000136167;ENSG00000125686;ENSG00000168610;ENSG00000169297;ENSG00000198369;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000064999;ENSG00000229353;ENSG00000142224;ENSG00000231608;ENSG00000115896;ENSG00000117586;ENSG00000130513;ENSG00000138684;ENSG00000233323;ENSG00000136634;ENSG00000168477;ENSG00000078098;ENSG00000153064;ENSG00000105397;ENSG00000131323;ENSG00000179295;ENSG00000149295;ENSG00000081237;ENSG00000070031;ENSG00000132170;ENSG00000119508;ENSG00000138795;ENSG00000102962;ENSG00000203797;ENSG00000140396;ENSG00000204842;ENSG00000107077;ENSG00000130522;ENSG00000134115;ENSG00000206258;ENSG00000198719;ENSG00000067715
GO:0005126,cytokine receptor binding,http://amigo.geneontology.org/amigo/term/GO:0005126,269,14,3.713873719,3.769648905,2.31E-05,0.003570217,356;2885;3451;3558;3586;3717;6367;6774;7187;7292;7297;9518;59067;200734,ENSG00000234829;ENSG00000177885;ENSG00000168610;ENSG00000198369;ENSG00000096968;ENSG00000109471;ENSG00000117560;ENSG00000117586;ENSG00000130513;ENSG00000138684;ENSG00000136634;ENSG00000105397;ENSG00000131323;ENSG00000102962
GO:0004672,protein kinase activity,http://amigo.geneontology.org/amigo/term/GO:0004672,642,23,8.863594527,2.594884043,2.89E-05,0.004117521,640;818;1027;1445;2044;2064;3654;3717;3815;3984;5129;5592;7297;8844;8997;9641;9770;28996;51755;54899;57118;157285;388228,ENSG00000141736;ENSG00000117266;ENSG00000157404;ENSG00000136573;ENSG00000141068;ENSG00000184216;ENSG00000096968;ENSG00000106683;ENSG00000148660;ENSG00000275342;ENSG00000103653;ENSG00000145242;ENSG00000167258;ENSG00000160145;ENSG00000101265;ENSG00000064393;ENSG00000168297;ENSG00000105397;ENSG00000111276;ENSG00000183049;ENSG00000185532;ENSG00000263528;ENSG00000188322
GO:0046934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",http://amigo.geneontology.org/amigo/term/GO:0046934,71,7,0.980241762,7.141095462,5.47E-05,0.007237288,941;942;2064;2885;3815;5781;29851,ENSG00000141736;ENSG00000157404;ENSG00000177885;ENSG00000121594;ENSG00000179295;ENSG00000114013;ENSG00000163600
GO:0052813,phosphatidylinositol bisphosphate kinase activity,http://amigo.geneontology.org/amigo/term/GO:0052813,74,7,1.021660428,6.851591592,7.15E-05,0.008826122,941;942;2064;2885;3815;5781;29851,ENSG00000141736;ENSG00000157404;ENSG00000177885;ENSG00000121594;ENSG00000179295;ENSG00000114013;ENSG00000163600
GO:0003823,antigen binding,http://amigo.geneontology.org/amigo/term/GO:0003823,54,6,0.745535988,8.047901235,9.62E-05,0.011137623,958;3117;3119;3122;3123;3575,ENSG00000206305;ENSG00000230726;ENSG00000231286;ENSG00000236418;ENSG00000228987;ENSG00000227993;ENSG00000101017;ENSG00000206240;ENSG00000168685;ENSG00000206308;ENSG00000228284;ENSG00000226260;ENSG00000204287;ENSG00000232062;ENSG00000225890;ENSG00000196735;ENSG00000234794
GO:0035004,phosphatidylinositol 3-kinase activity,http://amigo.geneontology.org/amigo/term/GO:0035004,82,7,1.132110204,6.183143631,1.38E-04,0.014215898,941;942;2064;2885;3815;5781;29851,ENSG00000141736;ENSG00000157404;ENSG00000177885;ENSG00000121594;ENSG00000179295;ENSG00000114013;ENSG00000163600
