,geneSet,description,size,expect,pValue,FDR
0,GO:0016772,"transferase activity, transferring phosphorus-containing groups",980,13.53009756,2.13e-08,3.9399999999999995e-05
1,GO:0016301,kinase activity,835,11.52819537,4.93e-07,0.00045599999999999997
2,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",774,10.68601583,9.95e-07,0.000614
3,GO:0008022,protein C-terminus binding,187,2.581763515,2.02e-06,0.000936
4,GO:0032395,MHC class II receptor activity,10,0.13806222,6.96e-06,0.0020631729999999997
5,GO:0051427,hormone receptor binding,180,2.485119961,7.74e-06,0.0020631729999999997
6,GO:0042802,identical protein binding,1672,23.08400319,8.68e-06,0.0020631729999999997
7,GO:0044212,transcription regulatory region DNA binding,869,11.99760692,9.6e-06,0.0020631729999999997
8,GO:0001067,regulatory region nucleic acid binding,871,12.02521937,1e-05,0.0020631729999999997
9,GO:0019903,protein phosphatase binding,129,1.781002639,1.21e-05,0.002240097
10,GO:0005102,signaling receptor binding,1498,20.68172056,1.6e-05,0.0026885909999999997
11,GO:0005126,cytokine receptor binding,269,3.713873719,2.3100000000000002e-05,0.003570217
12,GO:0004672,protein kinase activity,642,8.863594527,2.8899999999999998e-05,0.004117521
13,GO:0046934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",71,0.980241762,5.47e-05,0.007237288000000001
14,GO:0052813,phosphatidylinositol bisphosphate kinase activity,74,1.021660428,7.15e-05,0.008826121999999999
15,GO:0003823,antigen binding,54,0.745535988,9.620000000000001e-05,0.011137623000000001
16,GO:0035004,phosphatidylinositol 3-kinase activity,82,1.132110204,0.000138,0.014215898000000001
17,GO:1901474,azole transmembrane transporter activity,8,0.110449776,0.000138,0.014215898000000001
18,GO:0019902,phosphatase binding,174,2.402282629,0.000155,0.015070276
19,GO:0042605,peptide antigen binding,22,0.303736884,0.000213,0.018893395
